Date,Open,High,Low,Close,Volume
2024-05-13,186.57,188.31,185.36,188.00,24898600
2024-05-14,187.07,187.72,183.45,183.82,38698200
2024-05-15,185.99,186.72,182.73,185.97,75459900
2024-05-16,183.63,187.31,183.46,185.60,38834500
2024-05-17,184.70,185.30,183.35,183.76,33175700
2024-05-20,183.54,186.67,183.28,184.34,30511800
2024-05-21,183.15,183.26,180.75,182.30,50839100
2024-05-22,183.13,185.22,181.97,183.88,28148800
2024-05-23,181.05,184.76,180.08,183.66,33670200
2024-05-24,180.75,182.44,180.30,181.65,27434100
2024-05-28,182.15,182.24,179.49,179.93,29927000
2024-05-29,182.02,184.08,181.55,181.70,32009300
2024-05-30,179.32,181.34,178.36,181.31,29249200
2024-05-31,176.44,179.21,173.87,178.30,58903900
2024-06-03,178.34,178.70,175.92,177.70,30786600
2024-06-04,179.34,179.82,176.44,177.64,27198400
2024-06-05,181.28,181.50,178.75,180.10,32116400
2024-06-06,185.00,185.00,181.49,181.75,31371200
2024-06-07,184.30,186.29,183.36,184.90,28021500
2024-06-10,187.06,187.23,183.79,184.07,34494500
2024-06-11,187.23,187.77,184.54,187.06,27265100
2024-06-12,186.89,188.35,185.43,188.02,33984200
2024-06-13,183.83,187.67,182.67,186.09,39721500
2024-06-14,183.66,183.72,182.23,183.08,25456400
2024-06-17,184.06,185.00,181.22,182.52,35601900
2024-06-18,182.81,184.29,181.43,183.74,36659200
2024-06-20,186.10,186.51,182.72,182.91,44726800
2024-06-21,189.08,189.28,185.86,187.80,72931800
2024-06-24,185.57,191.00,185.33,189.33,50610400
2024-06-25,186.34,188.84,185.42,186.81,45898500
2024-06-26,193.61,194.80,186.26,186.92,65103900
2024-06-27,197.85,199.84,194.20,195.01,74397500
2024-06-28,193.25,198.85,192.50,197.73,76930200
2024-07-01,197.20,198.30,192.82,193.49,41192000
2024-07-02,200.00,200.43,195.93,197.28,45600000
2024-07-03,197.59,200.03,196.76,199.94,31597900
2024-07-05,200.00,200.55,198.17,198.65,39858900
2024-07-08,199.29,201.20,197.96,200.04,34767300
2024-07-09,199.34,200.57,199.05,199.40,32700100
2024-07-10,199.79,200.11,197.69,200.00,32883800
2024-07-11,195.05,200.27,192.86,200.09,44565000
2024-07-12,194.49,196.47,193.83,194.80,30598500
2024-07-15,192.72,196.19,190.83,194.56,40683200
2024-07-16,193.02,196.62,192.24,195.59,33994700
2024-07-17,187.93,191.58,185.99,191.35,48076100
2024-07-18,183.75,189.68,181.45,189.59,51043600
2024-07-19,183.13,184.93,180.11,181.14,43081800
2024-07-22,182.55,185.06,182.48,185.00,39931900
2024-07-23,186.41,189.39,183.56,184.10,47537700
2024-07-24,180.83,185.45,180.41,183.20,41532400
2024-07-25,179.85,183.90,176.80,182.91,44464200
2024-07-26,182.50,183.19,180.24,180.39,29506000
2024-07-29,183.20,184.75,182.38,183.84,33270100
2024-07-30,181.71,185.86,179.38,184.72,39508600
2024-07-31,186.98,187.94,184.46,185.05,41667300
2024-08-01,184.07,190.60,181.87,189.29,70435600
2024-08-02,167.90,168.77,160.55,166.75,141448400
2024-08-05,161.02,162.96,151.61,154.21,83149400
2024-08-06,161.93,165.08,158.54,161.71,59950800
2024-08-07,162.77,167.58,161.43,166.55,48408200
2024-08-08,165.80,166.69,162.55,165.17,44616200
2024-08-09,166.94,168.55,165.85,166.40,36401000
2024-08-12,166.80,168.55,166.11,168.14,30072800
2024-08-13,170.23,171.04,167.10,167.81,39237900
2024-08-14,170.10,172.28,168.86,172.11,28843800
2024-08-15,177.59,177.91,173.99,174.86,51698500
2024-08-16,177.06,178.34,176.26,177.04,31489200
2024-08-19,178.22,178.30,176.16,177.64,31129800
2024-08-20,178.88,179.01,177.43,177.92,26255200
2024-08-21,180.11,182.39,178.89,179.92,35599100
2024-08-22,176.13,181.47,175.68,181.38,32047500
2024-08-23,177.04,178.97,175.24,177.34,29150100
2024-08-26,175.50,177.47,174.30,176.70,22366200
2024-08-27,173.12,174.89,172.25,174.15,29842000
2024-08-28,170.80,173.69,168.92,173.69,29045000
2024-08-29,172.12,174.29,170.81,173.22,26407800
2024-08-30,178.50,178.90,172.60,172.78,43429400
2024-09-03,176.25,178.26,175.26,177.55,37817500
2024-09-04,173.33,175.98,172.54,174.48,30309200
2024-09-05,177.89,179.88,175.00,175.00,40170500
2024-09-06,171.39,178.38,171.16,177.24,41466500
2024-09-09,175.40,175.85,173.51,174.53,29037400
2024-09-10,179.55,180.50,176.79,177.49,36233800
2024-09-11,184.52,184.99,175.73,180.10,42564700
2024-09-12,187.00,187.41,183.54,184.80,33622500
2024-09-13,186.49,188.50,185.91,187.00,26495400
2024-09-16,184.89,185.81,183.36,185.29,26065500
2024-09-17,186.88,189.45,186.14,186.85,26091700
2024-09-18,186.43,188.80,185.06,186.45,34448100
2024-09-19,189.87,190.99,188.47,190.04,39543200
2024-09-20,191.60,191.84,187.41,190.23,100378600
2024-09-23,193.88,194.45,190.57,191.64,36993100
2024-09-24,193.96,195.37,190.13,194.27,43478900
2024-09-25,192.53,193.95,192.16,193.75,26391100
2024-09-26,191.16,194.53,189.54,194.31,36334900
2024-09-27,187.97,190.90,187.34,190.68,36002300
2024-09-30,186.33,188.49,184.65,187.14,41583900
2024-10-01,185.13,186.19,183.45,184.90,36044900
2024-10-02,184.76,186.60,184.04,184.44,23704100
2024-10-03,181.96,183.44,180.88,183.05,30204300
2024-10-04,186.51,187.60,183.60,185.75,40890300
2024-10-07,180.80,183.60,180.25,182.95,42364200
2024-10-08,182.72,183.09,180.92,181.92,26372100
2024-10-09,185.17,185.85,182.05,182.82,26343100
2024-10-10,186.65,188.13,185.83,187.13,27785000
2024-10-11,188.82,189.93,186.30,186.63,25751600
2024-10-14,187.54,189.83,187.36,189.78,22614400
2024-10-15,187.69,188.41,184.58,187.63,32178900
2024-10-16,186.89,187.78,185.61,187.05,23456800
2024-10-17,187.53,188.94,186.00,188.22,25039400
2024-10-18,188.99,190.74,186.28,187.15,37417700
2024-10-21,189.07,189.46,186.40,188.05,24639400
2024-10-22,189.70,191.52,186.98,188.35,29650600
2024-10-23,184.71,189.16,183.69,188.85,31937100
2024-10-24,186.38,187.11,183.86,185.25,21647400
2024-10-25,187.83,190.45,187.53,187.85,29362100
2024-10-28,188.39,190.21,188.21,189.57,27930800
2024-10-29,190.83,191.46,187.82,188.58,35690200
2024-10-30,192.73,195.61,192.42,194.70,37707600
2024-10-31,186.40,190.60,185.23,190.51,75146800
2024-11-01,197.93,200.50,197.02,199.00,99687800
2024-11-04,195.78,197.33,194.31,196.45,38492100
2024-11-05,199.50,199.82,195.99,196.04,30564800
2024-11-06,207.09,207.55,199.14,200.01,72292200
2024-11-07,210.05,212.25,207.19,207.44,52878400
2024-11-08,208.18,209.96,207.44,209.72,36075800
2024-11-11,206.84,209.65,205.59,208.50,35456000
2024-11-12,208.91,209.54,206.01,208.37,38942900
2024-11-13,214.10,215.09,209.14,209.40,46212900
2024-11-14,211.48,215.90,210.88,214.16,42620300
2024-11-15,202.61,207.34,199.61,206.76,86591100
2024-11-18,201.70,204.67,200.95,204.15,36512500
2024-11-19,204.61,205.30,198.78,199.33,31197900
2024-11-20,202.88,203.13,199.45,202.98,32769000
2024-11-21,198.38,203.49,195.75,203.49,58800000
2024-11-22,197.12,199.26,196.75,198.25,31530800
2024-11-25,201.45,201.95,199.00,199.28,40685700
2024-11-26,207.86,208.00,201.79,201.90,41673700
2024-11-27,205.74,207.64,205.05,206.98,28061600
2024-11-29,207.89,208.20,204.59,205.83,24892400
2024-12-02,210.71,212.99,209.51,209.96,39523200
2024-12-03,213.44,214.02,209.65,210.31,32214800
2024-12-04,218.16,220.00,215.75,215.96,48745700
2024-12-05,220.55,222.15,217.30,218.03,41140200
2024-12-06,227.03,227.15,220.60,220.75,44178100
2024-12-09,226.09,230.08,225.67,227.21,46819400
2024-12-10,225.04,229.06,224.20,226.09,31199900
2024-12-11,230.26,231.20,226.26,226.41,35385800
2024-12-12,228.97,231.09,227.63,229.83,28204100
2024-12-13,227.46,230.20,225.86,228.40,28768100
2024-12-16,232.93,233.00,228.01,230.23,37552100
2024-12-17,231.15,232.73,227.85,232.39,35948100
2024-12-18,220.52,231.40,220.11,230.77,43281400
2024-12-19,223.29,226.09,222.92,224.91,39918700
2024-12-20,224.92,226.21,218.73,219.84,88279200
2024-12-23,225.06,226.88,223.90,225.01,28070000
2024-12-24,229.05,229.14,226.13,226.94,15007500
2024-12-26,227.05,228.50,226.67,228.50,16146700
2024-12-27,223.75,226.03,220.90,225.60,27367100
2024-12-30,221.30,223.00,218.43,220.06,28321200
2024-12-31,219.39,223.23,218.94,222.97,24819700
2025-01-02,220.22,225.15,218.19,222.03,33956600
2025-01-03,224.19,225.36,221.62,222.51,27515600
2025-01-06,227.61,228.84,224.84,226.78,31849800
2025-01-07,222.11,228.38,221.46,227.90,28084200
2025-01-08,222.13,223.52,220.20,223.19,25033300
2025-01-10,218.94,221.71,216.50,221.46,36811500
2025-01-13,218.46,219.40,216.47,218.06,27262700
2025-01-14,217.76,221.82,216.20,220.44,24711700
2025-01-15,223.35,223.57,220.75,222.83,31291300
2025-01-16,220.66,224.65,220.31,224.42,24757300
2025-01-17,225.94,226.51,223.08,225.84,42370100
2025-01-21,230.71,231.78,226.94,228.90,39951500
2025-01-22,235.01,235.44,231.19,232.02,41448200
2025-01-23,235.42,235.52,231.51,234.10,26404400
2025-01-24,234.85,236.40,232.93,234.50,25890700
2025-01-27,235.42,235.61,225.86,226.21,49428300
2025-01-28,238.15,241.77,233.98,234.29,41587200
2025-01-29,237.07,240.39,236.15,239.02,26091700
2025-01-30,234.64,237.95,232.22,237.14,32020700
2025-01-31,237.68,240.29,236.41,236.50,36162400
2025-02-03,237.42,239.25,232.90,234.06,37285900
2025-02-04,242.06,242.52,238.03,239.01,29713800
2025-02-05,236.17,238.32,235.20,237.02,38727300
2025-02-06,238.83,239.66,236.01,238.01,60897100
2025-02-07,229.15,234.81,228.06,232.50,77539300
2025-02-10,233.14,233.92,229.20,230.55,35419900
2025-02-11,232.76,233.44,230.13,231.92,23713700
2025-02-12,228.93,231.18,228.16,230.46,32285200
2025-02-13,230.37,230.42,227.52,228.85,31346500
2025-02-14,228.68,229.89,227.23,229.20,27031100
2025-02-18,226.65,229.30,223.72,228.82,42975100
2025-02-19,226.63,226.83,223.71,225.52,28566700
2025-02-20,222.88,225.13,221.81,224.78,30001700
2025-02-21,216.58,223.31,214.74,223.28,55323900
2025-02-24,212.71,217.72,212.42,217.45,42387600
2025-02-25,212.80,213.34,204.16,211.63,58958000
2025-02-26,214.35,218.16,213.09,214.94,39120600
2025-02-27,208.74,219.97,208.37,218.35,40548600
2025-02-28,212.28,212.62,206.99,208.65,51771700
2025-03-03,205.02,214.01,202.55,213.35,42948400
2025-03-04,203.80,206.80,197.43,200.11,60853100
2025-03-05,208.36,209.98,203.26,204.80,38610100
2025-03-06,200.70,205.77,198.30,204.40,49863800
2025-03-07,199.25,202.27,192.53,199.49,59802800
2025-03-10,194.54,196.73,190.85,195.60,62350900
2025-03-11,196.59,200.18,193.40,193.90,54002900
2025-03-12,198.89,201.52,195.29,200.72,43679300
2025-03-13,193.89,198.88,191.82,198.17,41270800
2025-03-14,197.95,198.65,195.32,197.41,38096700
2025-03-17,195.74,199.00,194.32,198.77,47341800
2025-03-18,192.82,194.00,189.38,192.52,40414900
2025-03-19,195.54,195.97,191.96,193.38,39442900
2025-03-20,194.95,199.32,192.30,193.07,38921100
2025-03-21,196.21,196.99,192.52,192.90,60056900
2025-03-24,203.26,203.64,199.95,200.00,41625400
2025-03-25,205.71,206.21,203.22,203.60,31171200
2025-03-26,201.13,206.01,199.93,205.84,32855300
2025-03-27,201.36,203.79,199.28,200.89,27317700
2025-03-28,192.72,199.26,191.88,198.42,52548200
2025-03-31,190.26,191.33,184.40,188.19,63547600
2025-04-01,192.17,193.93,187.20,187.86,41267300
2025-04-02,196.01,198.34,187.66,187.66,53679200
2025-04-03,178.41,184.13,176.92,183.00,95553600
2025-04-04,171.00,178.14,166.00,167.15,123159400
2025-04-07,175.26,183.41,161.38,162.00,109327100
2025-04-08,170.66,185.90,168.57,185.23,87710400
2025-04-09,191.10,192.65,169.93,172.12,116804300
2025-04-10,181.22,186.87,175.85,185.44,68302000
2025-04-11,184.87,185.86,178.00,179.93,50542500
2024-04-17,230.00,450.00,120.00,245.00,123450
2024-04-17,123.00,345.00,120.00,345.00,23456
